Timestamp,CPU_Usage,RAM_Usage,Disk_Usage,GPU_Usage
2025-12-15 04:17:58,27,45,83,1
2025-12-15 04:18:01,26,45,83,0
2025-12-15 04:18:05,25,45,83,0
2025-12-15 04:18:08,1,45,83,1
2025-12-15 04:18:12,2,46,83,7
2025-12-15 04:18:16,3,45,83,5
2025-12-15 04:18:19,2,46,83,9
2025-12-15 04:18:23,1,46,83,3
2025-12-15 04:18:26,11,46,83,3
2025-12-15 04:18:30,10,46,83,4
2025-12-15 04:18:34,2,46,83,2
2025-12-15 04:18:37,23,46,83,2
2025-12-15 04:18:41,14,46,83,2
2025-12-15 04:18:45,7,46,83,0
2025-12-15 04:18:48,5,46,83,0
2025-12-15 04:18:52,19,46,83,4
2025-12-15 04:18:55,23,46,83,0
2025-12-15 04:18:59,14,46,83,0
2025-12-15 04:19:03,4,46,83,0
2025-12-15 04:19:06,20,46,83,2
2025-12-15 04:19:10,20,46,83,0
2025-12-15 04:19:13,18,46,83,0
2025-12-15 04:19:17,20,46,83,3
2025-12-15 04:19:21,12,46,83,12
2025-12-15 04:19:24,23,46,83,8
2025-12-15 04:19:28,16,46,83,3
2025-12-15 04:19:32,8,46,83,0
2025-12-15 04:19:35,15,46,83,0
2025-12-15 04:19:39,28,46,83,0
2025-12-15 04:19:42,19,46,83,0
2025-12-15 04:19:46,17,46,83,0
2025-12-15 04:19:50,11,46,83,0
2025-12-15 04:19:53,15,46,83,10
2025-12-15 04:19:57,41,46,83,8
2025-12-15 04:20:01,24,46,83,2
2025-12-15 04:20:04,26,46,83,4
2025-12-15 04:20:08,26,46,83,13
2025-12-15 04:20:12,29,46,83,1
2025-12-15 04:20:15,34,46,83,1
2025-12-15 04:20:19,35,46,83,2
2025-12-15 04:20:23,39,46,83,2
2025-12-15 04:20:26,29,46,83,6
2025-12-15 04:20:30,54,46,83,1
2025-12-15 04:20:34,44,46,83,5
2025-12-15 04:20:38,63,46,83,12
2025-12-15 04:20:41,34,46,83,5
2025-12-15 04:20:45,19,46,83,9
2025-12-15 04:20:48,19,46,83,0
2025-12-15 04:20:52,30,46,83,8
2025-12-15 04:20:55,30,46,83,1
2025-12-15 04:20:59,35,46,83,6
2025-12-15 04:21:03,49,46,83,3
2025-12-15 04:21:06,33,46,83,2
2025-12-15 04:21:10,25,46,83,16
2025-12-15 04:21:14,32,46,83,15
2025-12-15 04:21:17,31,46,83,1
2025-12-15 04:21:21,37,46,83,6
2025-12-15 04:21:24,43,46,83,5
2025-12-15 04:21:28,36,46,83,7
2025-12-15 04:21:32,34,46,83,19
2025-12-15 04:21:35,40,46,83,16
2025-12-15 04:21:39,25,46,83,5
2025-12-15 04:21:43,32,46,83,3
2025-12-15 04:21:46,16,46,83,8
2025-12-15 04:21:50,27,46,83,1
2025-12-15 04:21:54,41,46,83,1
2025-12-15 04:21:57,37,46,83,1
2025-12-15 04:22:01,40,46,83,1
2025-12-15 04:22:04,29,46,83,7
2025-12-15 04:22:08,0,46,83,9
2025-12-15 04:22:12,3,46,83,4
2025-12-15 04:22:12,0,46,83,2
2025-12-15 04:22:16,1,46,83,1
2025-12-15 04:22:19,1,45,83,1
2025-12-15 04:22:23,0,45,83,14
2025-12-15 04:22:27,0,45,83,2
2025-12-15 04:22:30,7,45,83,2
2025-12-15 04:22:34,3,46,83,1
2025-12-15 04:22:37,15,46,83,2
2025-12-15 04:22:41,18,46,83,5
2025-12-15 04:22:45,19,46,83,1
2025-12-15 04:22:48,11,45,83,3
2025-12-15 04:22:52,17,45,83,7
2025-12-15 04:22:56,37,46,83,9
2025-12-15 04:23:00,36,47,83,5
2025-12-15 04:23:03,50,47,83,17
2025-12-15 04:23:07,11,47,83,8
2025-12-15 04:23:11,31,47,83,8
2025-12-15 04:23:14,21,47,83,8
2025-12-15 04:23:18,29,46,83,8
2025-12-15 04:23:22,23,46,83,8
2025-12-15 04:23:25,48,46,83,8
2025-12-15 04:23:29,32,46,83,8
2025-12-15 04:23:33,35,46,83,8
2025-12-15 04:23:36,48,47,83,8
2025-12-15 04:23:40,37,47,83,8
2025-12-15 04:23:44,39,47,83,8
2025-12-15 04:23:47,33,47,83,8
2025-12-15 04:23:51,35,47,83,8
2025-12-15 04:23:55,35,46,83,8
2025-12-15 04:23:59,48,47,83,8
2025-12-15 04:24:02,51,47,83,8
2025-12-15 04:24:06,45,46,83,8
2025-12-15 04:24:10,33,46,83,8
2025-12-15 04:24:13,35,46,83,8
2025-12-15 04:24:17,26,46,83,8
2025-12-15 04:24:21,37,46,83,8
2025-12-15 04:24:25,37,46,83,8
2025-12-15 04:24:28,26,46,83,8
2025-12-15 04:24:32,46,46,83,8
2025-12-15 04:24:36,54,46,83,8
2025-12-15 04:24:39,48,47,83,9
2025-12-15 04:24:43,68,47,83,9
2025-12-15 04:24:47,35,47,83,101
2025-12-15 04:24:51,41,47,83,15
2025-12-15 04:24:55,34,47,83,99
2025-12-15 04:24:58,42,47,83,19
2025-12-15 04:25:02,41,47,83,6
2025-12-15 04:25:06,19,47,83,6
2025-12-15 04:25:10,31,47,83,6
2025-12-15 04:25:13,30,46,83,6
2025-12-15 04:25:17,20,46,83,4
2025-12-15 04:25:21,22,47,83,3
2025-12-15 04:25:24,49,47,83,6
2025-12-15 04:25:28,27,47,83,0
